PPP1R12B,axolotl_gene,human_gene,D0,D0.5,D1,D1.5,D2,D3,D4,D5,D7,D9,D10,D12,D14,D16,D18,D20,D22,D24,D26,D28,LFC,ME,LME
11796,axo10230-f_at,SERPINB6,9387.407034,9780.360988,10106.56416,10299.93777,10720.66665,11133.40293,11243.39414,11220.89397,11435.46967,11675.03294,12385.92504,5212.067274,4930.034202,5168.22366,13598.47265,12299.21826,12445.29666,12481.9611,12203.05714,12699.63137,-0.92912906,10521.35088,13.36103233
5797,axo07914-f_at,H2AFZ,7819.745829,8630.646998,8204.467584,8735.829599,9667.076881,10838.44375,11220.77731,11278.30779,11370.98806,11290.8619,11352.93739,4976.262207,5074.472239,5167.703064,13129.56957,13422.63226,13982.74511,14299.4199,14563.93917,14417.82577,0.897207,10472.23262,13.35428143
11512,axo08718-f_at,S100A10,8517.675188,8930.436639,10199.29632,10477.11582,10623.48872,11381.64921,11959.21439,11224.77573,12840.76914,12772.95758,12199.37824,5058.087994,4947.210085,4428.538881,11688.19879,10940.1811,11452.86562,11575.36447,12643.96214,12330.78477,0.5922,10309.59754,13.33170039
11322,axo10724-f_at,RPL29,11012.47406,11041.33502,10957.71222,11260.30278,11242.06156,11350.02614,11499.65533,11387.2361,11673.9405,11530.75213,10877.21051,4658.117092,4542.921024,4513.174983,10948.0249,11553.22496,11496.04505,11386.81778,11426.23115,11691.56956,-1.286924,10302.44164,13.33069867
12933,axo09239-r_at,TAGLN2,10518.87649,10150.60431,11257.80544,10796.19261,11502.13456,11132.09882,12858.49345,12593.69489,13600.01856,12778.92626,13171.19843,5179.749739,4835.98113,4564.553947,10892.13388,9833.518502,10064.61245,10025.25283,9966.298021,9686.588903,-1.20443483,10270.43666,13.3262099
14363,axo05825-f_at,VWA5A,10247.75309,10518.82545,10751.43791,11088.60301,10405.86301,10777.70961,9920.994286,11499.02564,11251.42414,10921.0958,12575.49876,4362.639928,4232.292904,4836.100699,13896.65462,11260.1779,11859.93925,12828.59008,10063.58002,11928.57428,-1.27579624,10261.33902,13.32493138
3179,axo06786-r_at,CSDA,12936.16173,11200.01466,11187.53054,11511.01157,11509.69514,11077.62511,10959.97586,10927.02466,10708.9024,11106.52594,10254.53889,4449.677154,4212.48642,4531.913847,10744.71056,11032.07844,11152.1326,11205.97843,11934.83499,12189.60706,-1.61866568,10241.6213,13.3221565
3275,axo01328-r_at,CTSL1,6318.182962,9573.282716,11089.17179,11660.13604,12158.56208,12080.22747,12779.20086,11046.60938,13885.26413,12377.35133,14029.62668,5464.42576,5550.175824,5366.382262,12065.95929,10372.01085,9920.347896,9243.656923,8699.398879,9095.328311,1.150895,10138.76507,13.30759432
9424,axo08334-r_at,PABPC1,11332.35436,10933.94194,10835.62688,10953.29265,11283.12442,11145.00003,10669.06405,10621.06636,11079.04571,11339.22956,10522.18719,4452.239696,4481.641771,4562.091857,11251.89208,11296.21631,11083.90016,10963.79775,10787.62009,11364.55836,-1.34784445,10047.89456,13.29460561
7024,axo08054-f_at,KRT19,7989.176019,6372.147735,8882.000887,5115.168324,5501.777192,7629.564531,7529.425108,7294.836865,9800.373383,8135.819744,6087.419189,3312.52457,3237.522491,3409.908094,13117.6894,16311.42269,17611.91297,16317.37085,23581.22426,23306.31023,1.56152,10027.17973,13.29162827
10471,axo08506-f_at,PSAP,8148.676263,8681.008864,9524.238284,9861.012018,10491.19211,11798.46864,14033.06961,12850.07358,13833.83947,13421.75772,13643.90505,5772.114207,5152.262846,4830.626822,10835.34898,9872.618062,9473.36332,9157.182119,8602.617637,8592.075767,0.784193,9928.772568,13.27739966
12403,axo08828-f_at,SNRPF,8838.568418,9730.673851,9231.056121,9757.94746,9872.262223,10259.50141,10089.03102,10300.51607,10318.15927,10557.46614,10185.47047,4435.163179,4391.972513,4430.806475,11597.86797,12050.28794,12460.99802,12241.36655,12553.54322,12694.89639,-1.00894369,9799.877736,13.25854803
4240,axo07242-f_at,EIF4G2,8635.787331,9821.406984,9922.280314,10121.81928,9966.816142,10599.82628,10662.9056,10829.54493,11176.26877,10868.33259,10780.31714,4588.847572,4510.112296,4454.95715,11370.53093,11036.64456,10836.8587,11013.06947,11039.65143,11329.29133,-0.95491616,9678.26344,13.24053249
12555,axo18006-f_at,SPINT2,9415.630565,11790.35061,11780.80089,11797.46278,11439.79834,10919.04454,10651.59604,10463.334,9557.058936,9854.957949,9633.537851,4268.801047,4127.394146,4330.708072,10353.02684,10483.84276,10195.04131,10392.64315,10090.69553,11113.82648,-1.1898265,9632.977592,13.23376609
3957,axo15754-f_at,DSP,7670.686583,8135.272748,7994.904027,8422.635397,9117.641695,10338.72744,11186.15806,11145.873,11040.87583,11876.21092,11824.23314,4907.608131,4925.239517,4966.03175,12289.07749,11747.93037,10937.14826,11521.17309,10978.36051,11603.36797,0.679949,9631.457796,13.23353846
1347,axo13462-r_at,BZW2,10137.89144,9904.805981,10301.98697,10499.22341,10364.22054,10522.92385,10590.00757,10591.99701,10495.71623,10353.32107,10336.76407,4529.0165,4266.086402,4155.860089,10499.79107,10346.00376,10347.01496,10541.37908,10540.45117,10636.38291,-1.28653863,9498.042204,13.21341445
12648,axo11906-f_at,SSR4,11103.016,10577.53618,10444.15389,10571.84824,10354.60572,10097.56631,10422.14058,9921.743876,10050.24465,10417.36656,9875.335178,4441.052312,4228.029683,4123.706846,9913.487761,10309.40178,10275.67111,10729.86274,10479.23659,11089.04881,-1.42893794,9471.252741,13.20933954
3252,axo04928-f_at,CTNNB1,7244.362381,7695.103416,8210.867846,8663.3843,8985.549392,10040.74711,11296.96018,11122.66593,11732.74527,11292.48988,11086.80463,4665.634476,4447.150396,4495.937423,11518.76161,10851.43336,11246.41836,10828.75678,11637.70532,11460.66391,0.69561,9426.207099,13.20246166
